GRU;NAZIV
1;CRNA I OBOJENA METALURGIJA
11;Polupr. cr.i oboj. metal.(lim.,fi..,prof.,cevi..
111;limovi,trake,ploce...
1111;limovi ravni
11111;limovi ravni tanki beli,pocinkovani(1mm-4mm)
11112;limovi ravni celicni
11113;limovi ravni od obojenih metala i njihovih leg.
1112;limovi rebrasti
1115;limovi profilisani
11151;limovi profilisani celicni
11153;limovi profilisani od obojenih metala i legura
1119;limovi perforirani
11191;limovi perforirani celicni
1113;trake
11131;trake celicne
11132;trake od  obojenih metala
1117;folije(lim beli...)
11171;folije celicne
11172;folije od obojenih metala i njihovih legura
11179;folije ostale
1116;lamele
11161;lamele celicne
1118;ploce
11181;ploce celicne
11182;ploce od od obojenih metala ilegura
11183;ploce od plemenitih metala
119;polup. crne i oboj. metal. ostalo
112;okrugli,pljosnati,poluokrugli,kvadratni
1121;okrugli materijal
11211;okrugli celicni
11212;okrugli od obojenih metala injihovih leg.
11213;okrugli ostalo
1122;pljosnati mater.
11221;pljosnati celik
122117;pljosnati cel. ug. sa gar. sastavom za automate
11225;pljosnati mater. od al i al legura
11227;pljosnati mater. od cu i cu legura
11229;pljosnati ostalo
1125;kvadratni mater.
11251;kvadratni celik
11255;kvadratni mater. od al i al legura
11256;kvadratni mater. od cu i cu legura
11259;kvadratni ostalo
1126;poluokrugli mater.
11261;poluokrugli celik
11262;poluokrugli mater. od al i al legura
11265;poluokrugli mater. od cu i cu legura
11269;poluokrugli mater. ostalo
1127;sestougaoni materijal.
11271;sestougaoni celik
11272;sestougaoni mater. od obojenih metala
1128;mnogougaoni i raznougaoni mater.
11281;mnogougaoni celik
11282;mnogougaoni od obojenih metala
11289;mnogougaoni ostalo
1129;zica
11291;zica celicna
11292;zica od obojenih materijala
115;ugaonici,nosaci,profili, sine...
1151;ugaonici
11511;ugaonici ravnokraki cel
11512;ugaonici raznokraki cel
11513;ugaonici od obojenih met. i njihovih leg.
1152;nosaci
11521;nosaci I oblika  cel
11522;nosaci U oblika  cel
11523;nosaci T oblika  cel
11524;nosaci raznih oblika cel
11525;nosaci od obojenih metala
1156;sine
11561;sine tip A
11562;sine tip S
11565;sine specijalne
11569;sine ostalo
1159;ostalo
116;cevi...
1161;cevi okrugle
11611;cevi okrugle bez sava cel
11612;cevi okrugle sa savom cel
11613;cevi okrugle od obojenih metala i legura
1162;cevi kvadratne
11621;cevi kvadratne cel i poc.
11622;cevi kvadratne od ob. metala
1163;cevi pravougone
11631;cevi pravougaone cel i poc.
11632;cevi pravougaone od oboj. metala
17;odlivci,otkivci,otpresci...
171;odlivci
1711;odlivci od sivog liva
1712;odlivci od celicnog liva
1715;odlivci od nodularnog liva
1716;odlivci od temper liva
1717;odlivci od obojenih metala ilegura
172;otkivci
1721;otkivci po crtezu
1722;otkivci standardni
17221;otkivci stand. cel. izduzeni
17222;otkivci stand. cel. kruznog preseka
17224;otkivci stand. cel. vretenasti
17225;otkivci stand. cel. rogljasti
17226;otkivci stand. cel. cevasti
17228;otkivci stand. cel. prstenatog preseka
17229;otkivci stand. ostalo
1729;otkivci ostalo
175;otpresci
1751;otpresci po crtezu
17511;otpresci po crtezu od uglj. cel.
17515;otpresci po crt. od celika za poboljsanje
17517;otpresci po crt. od obojenih metala
17519;otpresci po crtezu ostalo
1752;otpresci standardni
1759;otpresci ostalo
1789;ostalo
179;ostalo
19;razni proizvodi crne i obojene metalurgije
3;METALNI (gotovi) PROIZVODI
31;elementi za spajanje, vezivanje i osigur
311;vijci
3111;vijci sa sestostranom glavom
3112;vijci za tacno naleganje
3113;vijci sa cetvrtastom glavom
